Name;Supervisor;StProgram;FieldOfStudy;IsFullTimeStudy;IsExternalStudy;ResearchType;Descrition;Created
Bezpečnosť systémov Cloud Computing (CC);prof. Ing. Matilda Drozdová, CSc.;aplikovaná informatika;9.2.9 aplikovaná informatika;TRUE;FALSE;aplikovaný výskum;"Odlišnosť Cloud Computingu vo vzťahu k iným IT riešeniam je, že poskytujú služby,  na rôznej územnej rozľahlosti.  Medzi hlavné prospešné aspekty CC systémov patria rýchle a jednoduché nasadenie, redukcia nákladov na IT a platba za používanie. Pre využívanie CC systémov je v súčasnosti najdôležitejšou úlohou zaručenie bezpečnosti. Úloha riešenia bezpečnosti je spoločnou úlohou poskytovateľov služieb CC aj poskytovateľov služieb ostatných komunikačných systémov/technológií prostredníctvom ktorých CC systémy komunikujú. Úlohy riešenia bezpečnosti CC systémov sa  tak členia na dve skupiny:<br>1.    Bezpečnosť, spoločná so službami  ostatných komunikačných technológií.<br>2.    Bezpečnosť CC systémov, napríklad umiestnenie zdrojov, problémy multi-nájmov, autentizácia a dôvera získaných informácií, monitorovanie systému a protokolov,..<br>Ďalším problémom riešenia sú bezpečnostné štandardy CC systémov. V súčasnosti existuje viac normalizačných organizácií s rôznymi záujmami (IEEE Cloud Computing Study Group, ITU Cloud Computing Focus Group, Cloud Security Alliance, Distributed Management Task Force, Storage Networking Industry Association, Open Grid Forum,<br>Open Cloud Consortium, Organization for the Advancement of Structured Information Standards, a iné. Veľa noriem môže viesť k nedôvere používateľov CC systémov, preto je nutná snaha o jednotné štandardy hlavne v nasledujúcich oblastiach:<br>-	Sieťová architektúry<br>-	Dátové formáty<br>-	Meranie a účtovanie<br>-	Kvalita služby<br>-	Zabezpečenie zdrojov<br>-	Riadenie identity a utajenie. ";15.2.2016 22:03
Budovanie inovačného spravodajského systému v podniku;doc. Ing. Viliam Lendel, PhD.;manažment;3.3.15 manažment;TRUE;FALSE;aplikovaný výskum;Vo vedeckej literatúre možno nájsť niekoľko teórií, ktoré nazerajú na inovačný proces z rôznych uhlov, pričom za kľúčový prvok možno považovať hľadanie a tvorbu inovačných nápadov. Problematike informačného zabezpečenia inovačných procesov je v súčasnosti venovaná malá pozornosť. Vo väčšine prípadov je vymedzený len základný rámec aktivít, ktoré by mali byť zabezpečované v rámci podnikového IS. Efektívny inovačný manažment však vyžaduje jasné vymedzenie informačného systému, jeho nástrojov, funkcií, jednotlivých aktérov spolu s ich úlohami a zodpovednosťami. Predpokladom je úspešná identifikácia informačných tokov, informácií a ich zdrojov. Tu vzniká potreba vymedzenia inovačného spravodajského systému, jeho úlohy v podniku, štruktúry, obsahu a  väzby na inovačný manažment. V oblasti výskumu možno pozorovať nedostatočné zacielenie na rozhodujúce fázy inovačného procesu bez riešenia hlavnej otázky potreby IT v riadení inovácií. V praxi vznikajú problémy s množstvom informácií, hodnotením ich užitočnosti, archiváciou a distribúciou. Predmetom výskumu riešenia bude analýza a rozbor súčasných prístupov k informačnému zabezpečeniu inovačných procesov, definovanie rozhodujúcich oblastí riešenia, skúmanie kľúčových znakov inovačného spravodajského systému a ich vplyvu na inovačnú výkonnosť podniku. Výstupom riešenia bude komplexný inovačný spravodajský systém a jeho metodické zabezpečenie.<br><br>Rámcový postup a úlohy:<br>1. Analýza teoretických východísk týkajúcich sa oblasti inovačných procesov, ich informačného zabezpečenia, inovačných spravodajských systémov<br>2. Analýza existujúceho stavu informačného zabezpečenia inovačných procesov a riešenia inovačného spravodajského systému v podniku <br>3. Skúmanie kľúčových oblastí/modulov inovačného spravodajského systému a ich vplyvu na inovačnú výkonnosť podniku<br>4. Vypracovanie komplexného inovačného spravodajského systému v podniku <br>5. Vypracovanie ucelenej metodológie fungovania a rozvoja inovačného spravodajského systému v podniku<br>;15.2.2016 23:50
Budovanie a inovácia CRM v podniku;doc. Ing. Viliam Lendel, PhD.;manažment;3.3.15 manažment;FALSE;TRUE;aplikovaný výskum;Oblasť inovácie CRM je málo preskúmaná a venuje sa jej len špecifická skupina výskumníkov. Inovácia CRM možno skúmať v dvoch hlavných rovinách, ktoré sú v súčasnosti málo rozvíjané. Prvá rovina predstavuje koncepciu rozvíjania a zlepšovania (postupne i skokom) už v podniku vybudovaného systému CRM. Druhou rovinou je integrácia riadenia hodnoty zákazníka do CRM. V oboch prípadoch je aplikácia princípov CRM od strategickej až po operatívnu úroveň riadenia zložitá nakoľko kľúčové teoretické poznatky a modely sa ešte len formujú, chýba historická skúsenosť a dostatočne robustné empirické overenie teoretických poznatkov (viac menej sa už objavujú prvé rozsiahlejšie výskumy), štandardizované hodnotové modely a ukazovatele pre riadenie inovácie CRM sa ešte len postupne vytvárajú, chýbajú všeobecné znalosti o možnostiach a spôsoboch aplikácie teoretických poznatkov v praxi. Preto hlavnou oblasťou výskumu bude rozpracovanie operatívnych modelov riadenia zákazníckych skúseností (CEM) a vytvorenie manažérskeho modelu pre riadenie hodnoty zákazníkov (CVM). Predmetom výskumu riešenia bude analýza a rozbor súčasných prístupov k inovácii CRM, štandardizovaných hodnotových modelov a ukazovateľov pre riadenie inovácie CRM, taktiež skúmanie integrácie riadenia hodnoty zákazníka do CRM a jej vplyvu na celkovú výkonnosť podniku. Výstupom riešenia bude komplexný systém fungovania inovácie CRM v podniku a jeho metodické zabezpečenie.<br><br>Rámcový postup a úlohy:<br>1. Analýza teoretických východísk týkajúcich sa oblasti inovácií, hodnotového manažmentu a CRM<br>2. Analýza existujúceho stavu riešenia problematiky inovácie CRM v podniku <br>3. Identifikácia súčasnej úrovne slovenských podnikov v oblasti CRM a ich aktivít smerom k inovácií zákazníckych procesov<br>4. Skúmanie integrácie riadenia hodnoty zákazníka do CRM a jej vplyvu na celkovú výkonnosť podniku <br>5. Vypracovanie komplexného systému fungovania inovácie CRM v podniku<br>6. Vypracovanie ucelenej metodológie budovania inovácie CRM v podniku;16.2.2016 0:01
Adaptívna alokácia fragmentov databáz;prof. Ing. Karol Matiaško, PhD.;aplikovaná informatika;9.2.9 aplikovaná informatika;TRUE;TRUE;aplikovaný výskum a experimentálny vývoj;Problémom pri distribuovanom spracovaní dát je vhodné umiestnenie fragmentov a ich replík v uzloch siete vzhľadom k meniacim sa požiadavkám na sprístupnenie objektov prípadne ich vkladanie a menenie.<br>Preto vhodné navrhnúť model a nadväzne algoritmy na fragmentáciu, replikáciu a ich následnú  realokáciu.;16.2.2016 10:53
Rozpoznávanie reči, obrazu a iných vzorov (pattern recognition);prof. Ing. Martin Klimo, PhD.;aplikovaná informatika;9.2.9 aplikovaná informatika;TRUE;FALSE;aplikovaný výskum;Metódy rozpoznávania sú dnes realizované na počítači alebo FPGA. Obidvom týmto prístupom je spoločná von Neumannova architektúra s oddelenou pamäťou od výpočtu. To znižuje výkonnosť metód, ktorá pri kritických aplikáciách (akými sú rozpoznávanie obrazu kvôli veľkému objemu dát, alebo rozpoznávanie toku paketov pre krátky čas) môže byť nedostatočná. Preto pri riešení problému sa zameriavame na požitie kognitívnych systémov, ktoré integrujú funkciu pamäte a výpočtu do jedného prvku podobne, ako v ľudskom mozgu. Nádejnou je implementácia fuzzy logiky memristormi. Memristor je nanotechnologický prvok, ktorý v závislosti na polarite prechádzajúceho prúdu sa prepne do nízkoodporového alebo vysokoodporového stavu. Pri nulovom prúde sa tento stav zachováva, t.j. pamätá si ho. Okrem schopnosti pamäte dokážu dva spojené memristry počítať funkcie minimum, maximum, average z pripojených vstupných napätí. Funkcie min, max vytvárajú s negáciou elementárnu fuzzy logiku, pomocou ktorej je možné zostaviť rozhodovaciu funkciu pre rozpoznávanie vzoru.<br>Alternatívnym prístupom k metóde rozpoznávania fuzzy logickými funkciami je použitie metódy usporiadaného váženého priemeru (OWA) a jeho modifikácií (IOWA). Memristory totiž umožňujú tiež implementovať metódy usporiadania (sorting) a váhovania premennej binárnym koeficientom. Pomocou IOWA je potom možné usporiadať neznámy vstup podľa vybratého vzoru a odhadnúť ich vzájomnú podobnosť. Takýmto spôsobom je možné vytvoriť rozpoznávanie na základe nájdenia najpodobnejšieho vzoru (pattern matching).<br>Príklady zamerania dizertačného projektu:<br>- modelovanie memristorových sietí na grafických procesoroch<br>- návrh optimalizačnej metódy na štruktúru fuzzy logických funkcií<br>- návrh modelu pre rozpoznávanie procesov<br>- návrh memristorových sietí pre zvolené aplikácie rozpoznávania reči, obrazu, paketového toku,...<br>- iné, podľa návrhu uchádzača.;22.2.2016 9:09
Algoritmy pre analýzu zdrojových kódov;doc. Ing. Emil Kršák, PhD.;aplikovaná informatika;9.2.9 aplikovaná informatika;TRUE;TRUE;aplikovaný výskum a experimentálny vývoj;V súčasnosti existuje veľa vývojárov s rôznym stupňom vedomostí a zručností pri vývoji softvérových systémov. Existujú nástroje, ktoré vývojárom pomáhajú pri písaní zdrojových kódov, príp. pri ich úprave, ale spätná analýza a návrhy na zlepšenie sú väčšinou vo veľmi obmedzenej forme, na úrovni základného refaktoringu.;23.2.2016 11:41
Automatizované metódy pre nefunkcionálne testovanie softvéru v Cloud riešeniach;doc. Ing. Emil Kršák, PhD.;aplikovaná informatika;9.2.9 aplikovaná informatika;TRUE;TRUE;aplikovaný výskum a experimentálny vývoj;Testovanie softvéru pozostáva z testovania funkcionálnych a nefunkcionálnych vlastností vytváraného systému. Funkcionálne testovanie je deterministické a založené na známych požadovaných funkciách systému. Naopak testovanie nefunkcionálnych požiadaviek je definované ako súhrn rôznych požiadaviek  (záťažové testy, testy výdrže, spoľahlivosti, použiteľnosti, schopnosti zotaviť sa z chýb atď.), ktoré sa náhodne môže objaviť počas nasadenia a prevádzky systému. V súčasnosti sa začínajú presadzovať riešenia typu Cloud, kde nefunkcionálne testovanie získava podstatne dôležitejší význam. Cieľom výskumu je navrhnúť a vytvoriť postupy, ktorými by bolo možné požiadavky automatizovane testovať najmä s ohľadom na nasadenie v Cloud riešeniach. ;1.3.2016 10:35
Dátovo založené modelovanie a optimalizácia procesu nabíjania elektrických vozidiel;doc. Ing. Ľuboš Buzna, PhD.;aplikovaná informatika;9.2.9 aplikovaná informatika;TRUE;FALSE;základný výskum;Ak viac používateľov elektrických vozidiel zdieľa nabíjaciu infraštruktúru, vyvstáva potreba koordinácie nabíjania v čase a priestore, aby sa predišlo nežiadúcim zdržaniam a zvýšilo sa využitie nabíjacej infraštruktúry. Inou potrebou je vyváženie požiadaviek používateľov elektrických vozidiel s aktuálnou dostupnosťou obnoviteľných zdrojov energie. V praxi môže byť koordinácia umožnená prostredníctvom rezervačného systému, sociálnych sietí (social charging) alebo môže byť dôsledkom nastavenia motivačných faktorov ako sú napríklad dynamické cenové schémy.<br><br>Cieľom je navrhnúť prístup umožňujúci zosúladiť dostupnú kapacitu nabíjacej infraštruktúry s požiadavkami v čase a/alebo priestore.<br> <br>Navrhnuté metódy budú vychádzať z dostupných dát ako napríklad, dáta obsahujúce podrobné záznamy o viac ako milióne nabíjacích transakcií pre veľké množstvo predplatiteľov a nabíjacích staníc pokrývajúcich časové obdobie niekoľkých rokov.;13.2.2017 16:22
Riadenie tvorby hodnoty pre zákazníka;prof. Ing. Josef Vodák, PhD.;manažment;3.3.15 manažment;TRUE;TRUE;aplikovaný výskum a experimentálny vývoj;Mnohé výrobné i nevýrobné organizácie sa stretávajú s poklesom tržieb a ziskovosti súvisiacej s nižšou ochotou zákazníkov zaplatiť za to, čo aktuálne za svoje peniaze dostávajú.  Súvisí to s ich vnímaním hodnoty, ktorú dostávajú za svoje peniaze.<br>Častokrát si organizácie dostatočne neuvedomujú, že svoje ciele naplnia len veľmi ťažko bez toho, aby permanentne a cielene zvyšovali  hodnotu pre svojich zákazníkov. <br>Organizácie v prevážnej miere nedisponujú uceleným prístupom, vhodnou metodológiou, ktorá by im umožňovala systematickým a cieleným spôsobom hodnotu pre zákazníkov zvyšovať. Súčasne organizačné a riadiace kroky sa často javia ako chaotické a výsledky ako náhodné. Nedokážu vhodne využívať informácie o zákazníkoch, identifikovať ich potreby a prekonávať ich očakávania. <br>Cieľom práce je návrh ucelenej metodológie napomáhajúcej správne sa rozhodovať a riadiť proces tvorby hodnoty pre zákazníka. Čiastkovými oblasťami záujmu je návrh doplnkových produktov a služieb, podporujúcich rast hodnoty pre zákazníkov. Predmetom skúmania budú predovšetkým zahraničné spoločnosti s ambíciou priniesť čo najviac poznania pre domáce subjekty v našom prostredí.<br><br><br>;14.2.2017 8:21
Manažérske rozhodovanie o tvorbe hodnoty pre vybrané zainteresované skupiny v podniku;doc. Ing. Mária Ďurišová, PhD. ;manažment;3.3.15 manažment;TRUE;TRUE;aplikovaný výskum a experimentálny vývoj;Hodnotový manažment je štýl riadenia zameraný najmä na ľudí, získanie zručností a podporu synergií a inovácie s cieľom maximalizovať celkovú výkonnosť organizácie. Je procesom manažérskych aktivít prostredníctvom prístupov a metód používaných na rôznych úrovniach manažmentu podnikov orientovaných na hodnotu. Prispieva k naplneniu vrcholového cieľa podniku, ktorým je maximalizácia hodnoty pre vlastníkov rešpektujúca obmedzenia dané zainteresovanými skupinami podnikania. Sú nimi predovšetkým vlastníci, zákazníci, dodávatelia, investori, zamestnanci a štát. Hodnota je miera vyjadrujúca ako podnik, produkt alebo projekt uspokojuje potreby zainteresovaných skupín vo vzťahu k spotrebovaným zdrojom. Účelom hodnotového manažmentu je hľadať optimálny vzťah medzi uspokojením potrieb a použitými zdrojmi. Od schopnosti vnímania hodnoty manažéra závisí jeho schopnosť vyhľadávať a využívať príležitosti pre rast hodnoty podniku. Pri riadení hodnoty musia byť zosúladené očakávania jednotlivých záujmových skupín. Je potrebné definovať kritérium výnosnosti pre vlastníkov, investorov, zamestnancov, odberateľov, dodávateľov, veriteľov. Zvyšovanie hodnoty je výslednicou optimálnej kombinácie množstva činností a faktorov, ktoré je potrebné monitorovať, analyzovať, navrhnúť varianty riešenia s následným výberom optimálneho variantu a jeho verifikáciou. <br>Cieľom dizertačnej práce bude vypracovať model manažérskeho rozhodovania o tvorbe hodnoty zahrňujúci jej vyjadrenie, meranie, finančné a nefinančné metriky, generátory hodnoty a manažérske aktivity orientované na vytvorenie hodnoty pre vlastníkov, zákazníkov, dodávateľov, investorov, zamestnancov a štát. Model bude obsahovať podmienky a  proces rozhodovania, subjekty a objekty rozhodovania, informačné podklady, časové, logické nadväznosti. Bude vychádzať z variantov tvorby hodnoty, sumarizácie kritérií výberu a z voľby najvýhodnejšieho variantu podľa zvolených kritérií.<br><br>;14.2.2017 11:27
Dátovo založené modelovanie a optimalizácia procesu nabíjania elektrických vozidiel;doc. Ing. Ľuboš Buzna, PhD.;inteligentné informačné systémy;9.2.6 informačné systémy;TRUE;FALSE;základný výskum;Ak viac používateľov elektrických vozidiel zdieľa nabíjaciu infraštruktúru, vyvstáva potreba koordinácie nabíjania v čase a priestore, aby sa predišlo nežiadúcim zdržaniam a zvýšilo sa využitie nabíjacej infraštruktúry. Inou potrebou je vyváženie požiadaviek používateľov elektrických vozidiel s aktuálnou dostupnosťou obnoviteľných zdrojov energie. V praxi môže byť koordinácia umožnená prostredníctvom rezervačného systému, sociálnych sietí (social charging) alebo môže byť dôsledkom nastavenia motivačných faktorov ako sú napríklad dynamické cenové schémy.<br><br>Cieľom je navrhnúť prístup umožňujúci zosúladiť dostupnú kapacitu nabíjacej infraštruktúry s požiadavkami v čase a/alebo priestore.<br> <br>Navrhnuté metódy budú vychádzať z dostupných dát ako napríklad, dáta obsahujúce podrobné záznamy o viac ako milióne nabíjacích transakcií pre veľké množstvo predplatiteľov a nabíjacích staníc pokrývajúcich časové obdobie niekoľkých rokov.;14.2.2017 16:26
Analýza rozsiahlych dát v energetických a dopravných aplikáciách;doc. Ing. Ľuboš Buzna, PhD.;aplikovaná informatika;9.2.9 aplikovaná informatika;TRUE;FALSE;základný výskum;Téma je zameraná na aplikáciu a vývoj metód s cieľom uskutočniť analýzu rozsiahlych dát. Dáta pochádzajú z verejnej siete nabíjacích staníc v Holandsku. Dáta obsahujú podrobné záznamy o viac ako milióne nabíjacích transakcií pre veľké množstvo predplatiteľov a nabíjacích staníc pokrývajúcich časové obdobie niekoľkých rokov.<br><br>Cieľom výskumu je navrhnúť metodiku ktorá umožní odhadnúť:<br>- časovo-priestorové charakteristiky používateľov a verejných nabíjacích staníc (Aké sú pravidelnosti v časovom a priestorom využívaní nabíjacích staníc? Ako flexibilní sú používatelia ohľadne použitia alternatívnych nabíjacích staníc, prípadne alternatívnych nabíjacích časov?),<br>- časový vývoj a očakávané budúce trendy (Ako sa prevádzka nabíjacích staníc vyvíjala v čase? Aké sú očakávané budúce trendy? Aké algoritmy sú schopné predpovedať vyťaženosť nabíjacích staníc?),<br>- ekonomickú efektívnosť existujúcej siete nabíjacích staníc (Aké faktory ovplyvňujú vyťaženosť nabíjacích staníc? Ako by bolo možné zlepšiť efektívnosť siete nabíjacích staníc?).;14.2.2017 16:28
Analýza rozsiahlych dát v energetických a dopravných aplikáciách;doc. Ing. Ľuboš Buzna, PhD.;inteligentné informačné systémy;9.2.6 informačné systémy;TRUE;FALSE;základný výskum;Téma je zameraná na aplikáciu a vývoj metód s cieľom uskutočniť analýzu rozsiahlych dát. Dáta pochádzajú z verejnej siete nabíjacích staníc v Holandsku. Dáta obsahujú podrobné záznamy o viac ako milióne nabíjacích transakcií pre veľké množstvo predplatiteľov a nabíjacích staníc pokrývajúcich časové obdobie niekoľkých rokov.<br><br>Cieľom výskumu je navrhnúť metodiku ktorá umožní odhadnúť:<br>- časovo-priestorové charakteristiky používateľov a verejných nabíjacích staníc (Aké sú pravidelnosti v časovom a priestorom využívaní nabíjacích staníc? Ako flexibilní sú používatelia ohľadne použitia alternatívnych nabíjacích staníc, prípadne alternatívnych nabíjacích časov?),<br>- časový vývoj a očakávané budúce trendy (Ako sa prevádzka nabíjacích staníc vyvíjala v čase? Aké sú očakávané budúce trendy? Aké algoritmy sú schopné predpovedať vyťaženosť nabíjacích staníc?),<br>- ekonomickú efektívnosť existujúcej siete nabíjacích staníc (Aké faktory ovplyvňujú vyťaženosť nabíjacích staníc? Ako by bolo možné zlepšiť efektívnosť siete nabíjacích staníc?).;14.2.2017 16:29
Data-centric modelling and optimisation of electric vehicles charging;doc. Ing. Ľuboš Buzna, PhD.;aplikovaná informatika;9.2.9 aplikovaná informatika;TRUE;FALSE;základný výskum;If more electric vehicle drivers share the same set of public charging stations, then the need arises to coordinate them in space and time to prevent queues and delays. Another need is to match the demand of users with the time varying network capacity (e.g. due to presence of the renewable sources of energy). In practice, the coordination may be facilitated by a booking system, social networks (social charging) or it can be self-organized. Another option is to incentivise the behaviour of users by introducing a dynamical pricing scheme that helps matching the demand and supply of electric energy.<br><br>The goal of the project is to propose a method to coordinate charging of a fleet of electric vehicles in order to match available network capacity with the charging demand in time and/or space.<br><br>The proposed method will be informed by available datasets such as for example, dataset describing large public charging network serving users of electric vehicles that is situated in the Netherlands. The dataset contains about 1 million charging transactions, involving large number of subscribers and charging stations and covers the time period of several years.;14.2.2017 16:31
Data-centric modelling and optimisation of electric vehicles charging;doc. Ing. Ľuboš Buzna, PhD.;inteligentné informačné systémy;9.2.6 informačné systémy;TRUE;FALSE;základný výskum;If more electric vehicle drivers share the same set of public charging stations, then the need arises to coordinate them in space and time to prevent queues and delays. Another need is to match the demand of users with the time varying network capacity (e.g. due to presence of the renewable sources of energy). In practice, the coordination may be facilitated by a booking system, social networks (social charging) or it can be self-organized. Another option is to incentivise the behaviour of users by introducing a dynamical pricing scheme that helps matching the demand and supply of electric energy.<br><br>The goal of the project is to propose a method to coordinate charging of a fleet of electric vehicles in order to match available network capacity with the charging demand in time and/or space.<br><br>The proposed method will be informed by available datasets such as for example, dataset describing large public charging network serving users of electric vehicles that is situated in the Netherlands. The dataset contains about 1 million charging transactions, involving large number of subscribers and charging stations and covers the time period of several years.<br>;14.2.2017 16:32
Data analysis and data-centric modelling in energy and transport;doc. Ing. Ľuboš Buzna, PhD.;aplikovaná informatika;9.2.9 aplikovaná informatika;TRUE;FALSE;základný výskum;The project focuses on application and development of methods to analyse large datasets. Data will originate from a large public charging network serving users of electric vehicles that is situated in the Netherlands. The dataset contains about 1 million charging transactions, involving large number of subscribers and charging stations and covers the time period of several years.<br><br>The goal of the project is to propose methodology that will enable to estimate:<br>- spatial and temporal behaviour of uses (Are there any spatial and temporal patterns in how users utilise the network of charging stations? How flexible are users in charging at different stations and different times?)<br>- time evolution and expected future trends (How is the operation of public charging stations evolving in time? Are there any trends, e.g. users converting to home charging? What are the factors influencing the evolution of the utilisation<br>of charging stations? How to design algorithms able to predict utilisation of charging stations?)<br>- economic efficiency of the existing charging network (What are the factors influencing utilisation of charging stations? Could we optimise the network in order to improve its efficiency?);14.2.2017 16:34
Data analysis and data-centric modelling in energy and transport;doc. Ing. Ľuboš Buzna, PhD.;inteligentné informačné systémy;9.2.6 informačné systémy;TRUE;FALSE;základný výskum;The project focuses on application and development of methods to analyse large datasets. Data will originate from a large public charging network serving users of electric vehicles that is situated in the Netherlands. The dataset contains about 1 million charging transactions, involving large number of subscribers and charging stations and covers the time period of several years.<br><br>The goal of the project is to propose methodology that will enable to estimate:<br>- spatial and temporal behaviour of uses (Are there any spatial and temporal patterns in how users utilise the network of charging stations? How flexible are users in charging at different stations and different times?)<br>- time evolution and expected future trends (How is the operation of public charging stations evolving in time? Are there any trends, e.g. users converting to home charging? What are the factors influencing the evolution of the utilisation<br>of charging stations? How to design algorithms able to predict utilisation of charging stations?)<br>- economic efficiency of the existing charging network (What are the factors influencing utilisation of charging stations? Could we optimise the network in order to improve its efficiency?);14.2.2017 16:36
Riadenie business procesov v prostredí internetu vecí;doc. Ing. Milan Kubina, PhD.;manažment;3.3.15 manažment;TRUE;TRUE;aplikovaný výskum;V súčasnosti sa čím ďalej tým viac spomína pojem Internetu vecí (Internet of Things - IoT) v európskom ako aj národnom kontexte. IoT predstavuje nosný pilier pre ďalšiu etapu priemyselnej revolúcie (INDUSTRY 4.0 - digitálny podnik) a  napomáha k digitalizácii podnikových procesov. IoT predstavuje spôsob akým v budúcnosti budú komunikovať inteligentné zariadenia v rámci moderného podniku medzi sebou ale aj so zamestnancami, dodávateľmi resp. zákazníkmi. Rýchlosť rozvoja tejto technológie je v posledných rokoch priam závratná a podnikom sa otvárajú nové možnosti a príležitosti ako byť úspešný. Táto technológia vplýva na podnikové procesy, predovšetkým na ich zrýchlenie a celkové zefektívnenie. Preto vznikajú nové výzvy/otázky ako na tieto trendy zareagujú manažéri na rôznych úrovniach riadenia v podniku.  Slovenské podniky v dnešnej dobe v týchto moderných trendoch zaostávajú, čo sa v konečnom dôsledku premieta do nižšej konkurencieschopnosti a schopnosti zapojiť sa do spolupráce v rámci budovania INDUSTRY 4.0 nielen na národnej ale aj európskej úrovni.<br>Úlohou riešenia je skúmať všeobecné i  špecifické vplyvy technológie IoT na fungovanie jednotlivých podnikových procesov. Cieľom dizertačnej práce je na základe spracovanej metodológie a návrhu modelu riadiacich procesov preukázať vhodnosť využitia technológie IoT pri riadení podnikových procesov. Predmetom skúmania/analyzovania budú najmä zahraničné podniky s ambíciou priniesť čo najviac poznania pre domáce podniky v našom prostredí. Ďalším priestorom na skúmanie je aj vplyv informačných technológií resp. IoT v procesoch riadenia a rozhodovania v podniku.<br>;15.2.2017 9:37
Analýza spoľahlivosti a risku zložitých systémov;prof. Ing. Elena Zaitseva, PhD.;aplikovaná informatika;9.2.9 aplikovaná informatika;TRUE;FALSE;základný výskum;V súčasnosti stav a úroveň technológií prináša nové potreby v oblasti rozvoja teórie spoľahlivosti. Súčasné systémy, vyžadujúce analýzu spoľahlivosti, sú zložité čo do svojej štruktúry, nehomogénne vzhľadom na svoju fyzikálnu podstatu a tiež obsahujú komponenty s rozličnými procesmi zlyhania, degradácie i poruchy. Preto sa v teórii spoľahlivosti stávajú aktuálnymi úlohy výskumu zložitých a sociálno-technických systémov, napríklad systémov riadenia jadrovej elektrárne, systémov prepravy nafty a plynu, transportných.<br>Existuje niekoľko alternatívnych matematickich prístupov k riešeniu týchto úloh. Pre reálne systémy nie je dôležité iba určenie podmienok a pravdepodobnosti havárie, ale je dôležité tiež zistiť príčiny, vedúce k havárii, analyzovať zmeny spoľahlivosti systému, berúc do úvahy niekoľko úrovní prevádzkyschopnosti. To je možné využitím takého systému, ktorého matematický model umožňuje modelovať niekoľko úrovní prevádzkyschopnosti (Multi-State System, MSS). Takýto model opisuje niekoľko úrovní prevádzkyschopnosti (spoľahlivosti) celého systému i jeho komponentov a umožňuje podrobnejšie vykonať analýzu zmeny stavu skúmaného systému.<br>Jednou z aktuálnych úloh analýzy spoľahlivosti MSS je odhad pravdepodobnosti stavu (úrovne spoľahlivosti) systému v závislosti od stavu jeho komponentov. Tradične sa táto úloha vzťahuje k oblasti Importance Analysis  – oblasti teórie spoľahlivosti, ktorá určuje vplyv každého komponentu systému na úroveň jeho spoľahlivosti. V niektorých zdrojoch sa táto oblasť teórie spoľahlivosti nazýva tiež „výskum citlivosti MSS“. Odhad, určujúci pravdepodobnosť stavu systému pri niektorých zadaných podmienkach pre jeho komponenty sa nazýva Importance Measure (IM). <br>Сieľ práce spočíva vo vytvorení a rozvoji teoretických základov analýzy spoľahlivosti zložitých systémov, hlavne analýzy citlivosti spoľahlivosti vzhľadom k zmenám stavu jedného alebo viacerých komponentov systému.<br>;17.2.2017 12:55
Analýza spoľahlivosti založená na minimálnych rezoch;prof. Ing. Elena Zaitseva, PhD.;aplikovaná informatika;9.2.9 aplikovaná informatika;TRUE;FALSE;základný výskum;Jedným z aktuálnych problémov teórie spoľahlivosti je analýza rozsiahlych komplexných systémov. Pre tieto systémy je typické, že pozostávajú z veľkého množstva navzájom rôznorodých komponentov. V dôsledku toho je veľmi náročné analyzovať tieto systémy s využitím klasických prístupov teórie spoľahlivosti, ktoré sú založené na predpoklade, že systém ako aj jeho časti môžu byť len v dvoch možných stavoch – funkčný alebo nefunkčný. Oveľa vhodnejšie je modelovať tieto systémy ako viacstavové, ktoré umožňujú definovať niekoľko stavov, v ktorých sa môže nachádzať systém a jeho časti – od perfektne funkčného cez čiastočne nefunkčný po kompletne zlyhaný.<br>Jedným z hlavných problémov viacstavových modelov je ich zložitosť. Už aj pomerne malé modely pripúšťajúce viac ako dva stavy v správaní jednotlivých komponentov sú z časového hľadiska veľmi náročné na analýzu. Preto je jedným z aktuálnych problémov teórie spoľahlivosti návrh nových algoritmov, ktoré umožnia efektívne analyzovať rozsiahle viacstavové systémy. Jednou z pomerne málo preskúmaných možností je využitie metód založených na minimálnych rezoch.<br>Minimálny rez predstavuje minimálnu množinu udalostí, ktorých súčasný výskyt povedie k zlyhaniu, resp. degradácii systému. Ak poznáme všetky minimálne rezy systému, tak môžeme vyčísliť jeho spoľahlivosť alebo analyzovať vplyv jednotlivých komponentov na činnosť systému. <br>Cieľom práce je navrhnúť nové prístup, ktoré by umožnili efektívne analyzovať spoľahlivosť viacstavových systémov na základe minimálnych rezov. Pri výskume je nutné zaoberať sa nielen prácami z oblasti teórie spoľahlivosti, ale aj výsledkami publikovanými v ďalších oblastiach aplikovanej informatiky a matematiky, nakoľko rôzne paralely k minimálnym rezom existujú vo viacerých odvetviach týchto vedných disciplín.<br>;17.2.2017 13:02
